timestamp,x,y,z
31123978114,21.75,11.5625,-84.3125
31124001320,26.5,8,-84.6875
31124023959,34.625,5.0625,-84.125
31124038130,39.375,1.4375,-82.8125
31124061388,41.1875,-0.5,-80.1875
31124083936,44.6875,-1.5625,-78.9375
31124105081,46.9375,-1.125,-76.3125
31124121386,51.6875,0.375,-73
31124143812,57.125,-0.1875,-69.25
31124164980,57.1875,-0.5625,-63.0625
31124181382,58.4375,-2.1875,-57.25
31124204038,56.625,-3.5,-50.5
31124224931,54.375,-4.4375,-45.375
31124241366,53,-6.375,-40.8125
31124263860,48.9375,-7.125,-35.6875
31124285174,45.125,-8.4375,-28.875
31124301370,37.5625,-11.0625,-22.0625
31124324007,30.9375,-12.25,-16.75
31124345159,27.8125,-11.8125,-11.625
31124361378,23.5,-11.75,-8.25
31124383958,18.5625,-10.9375,-5.4375
31124404955,16.1875,-8.1875,-3.6875
31124421378,12.4375,-5.625,-1.5
31124443788,8.9375,-4,0.6875
31124464990,6.125,-3.8125,2.1875
31124481547,4.25,-3.9375,4.4375
31124505199,3.125,-3.6875,6.25
31124524898,1.3125,-4.125,7.125
31124541295,-0.1875,-3,7.3125
31124563769,0.5625,-2.4375,6.25
31124584911,-0.375,-2.5625,4.9375
31124601251,-1.5625,-2.1875,3.875
31124623912,-1.5625,-1.1875,2.9375
31124646382,-0.9375,0.4375,2.875
31124661494,-0.8125,0.75,2.6875
31124684095,-0.8125,0.5,2.1875
31124706348,0.6875,0,1.3125
31124721387,1.625,0.1875,0.4375
31124743844,1.125,-0.9375,0.375
31124766412,0.5,-1.1875,0.375
31124780711,1.375,-1.0625,0.375
31124803852,0.875,-0.4375,0.75
31124826379,1.4375,-0.1875,1.5
31124840572,1.625,0.0625,1.5625
31124863914,2.125,-0.125,1.0625
31124886349,1.1875,-1.0625,0.6875
31124900655,0.6875,-1.8125,0.625
31124923833,0.875,-2.6875,0.5625
31124946521,0.375,-2.9375,0.375
31124960614,0.75,-3,0.125
31124983837,1.375,-2.875,-0.4375
31125006300,1.125,-2.5625,-0.5625
31125020777,0.75,-1.875,-1.375
31125043928,-0.0625,-0.875,-1.6875
31125066381,0.125,-0.5,-1.5625
31125080704,1,-0.6875,-1.1875
31125104115,0.75,-1.625,-0.75
31125126354,0,-1.6875,0.4375
31125147544,-0.125,-1.875,1.4375
31125163867,-0.6875,-1.75,1.875
31125186387,-1.375,-1.0625,1.5
31125207442,-2.8125,-0.0625,0.875
31125224004,-2.75,0.5625,0.3125
31125246382,-2.4375,0.75,-0.5
31125267609,-2.25,0.375,-1.1875
31125284081,-1.6875,0,-1.375
31125306481,-1.375,-0.125,-0.9375
31125327492,-0.875,0.0625,-0.625
31125343949,-0.1875,-0.0625,-0.5
31125366316,0.125,0.375,-0.1875
31125387552,-0.625,0.4375,0
31125403956,-0.6875,0.5625,0.25
31125426376,0,0.3125,0.125
31125447366,-0.4375,-0.0625,0.5
31125463855,-0.4375,-0.1875,0.9375
31125486322,-0.375,-0.625,1.375
31125507421,-0.25,-0.9375,1.125
31125523978,-0.0625,-0.875,1.375
31125546383,0.5625,-0.9375,1
31125568996,0.8125,-0.9375,0.75
31125584051,0.6875,-1.1875,0.6875
31125606319,0.875,-1.25,0.75
31125628754,1.0625,-0.6875,0.5625
31125643756,1.5625,0.6875,0.4375
31125666296,1.9375,1.5,0.8125
31125688834,1.125,1.625,0.5625
31125703355,0.0625,1.8125,0.5625
31125726564,0.25,1.75,0.5
31125748785,-0.6875,1.875,0.6875
31125763116,-0.9375,1.5,0.9375
31125786359,-1.9375,1.0625,1
31125809034,-0.875,1,0.875
31125823132,-0.1875,0.75,0.8125
31125846420,-0.9375,0.375,0.5625
31125868913,-0.5,0.5625,0.5
31125883136,-0.5625,0.75,0.5625
31125906371,-0.25,1.0625,0.1875
31125928885,-0.125,0.8125,0.25
31125943209,0.0625,0.625,0.4375
31125966340,-0.3125,0.75,0.25
31125988831,-0.6875,1.125,0.125
31126003098,-1.0625,0.75,0
31126026360,-2,0.0625,0
31126048945,-1.875,-0.25,0.125
31126070108,-2.125,-0.25,-0.5
31126086296,-2.4375,-0.0625,-0.625
31126108901,-2.5,0,-0.9375
31126130110,-2.25,0.25,-1.4375
31126146422,-1.5625,0.3125,-1.375
31126169380,-0.9375,0.125,-1.4375
31126189985,-0.75,0.3125,-1.625
31126206352,-0.5625,0.125,-1.5
31126229009,-0.1875,-0.5625,-1.875
31126249927,0.0625,-0.3125,-1.3125
31126266392,-0.1875,-0.3125,-0.9375
31126288746,-0.875,-0.4375,-0.6875
31126309879,-0.875,-0.75,-0.75
31126326320,-2.0625,-1,-0.75
31126348809,-1.6875,-0.75,-0.875
31126370028,-2.3125,0,-1.0625
31126386311,-2.625,0.5,-0.875
31126408829,-3.3125,0.4375,-0.625
