Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
32963956690,18.4375,2.875,-3.0625,-0.234375,0.172852,0.851562,,,
32963980443,23.6875,6.5625,-6.9375,-0.258301,0.160645,0.849609,,,
32964002945,26.8125,9.25,-8.5625,-0.263672,0.134766,0.86377,,,
32964016469,31.8125,13.5,-9.75,-0.285156,0.167969,0.890137,,,
32964034362,34.6875,17.125,-12.125,-0.302734,0.194824,0.904297,,,
32964055500,30.375,23.3125,-14.8125,-0.33252,0.181152,0.922852,,,
32964076665,34.375,24.75,-15.5,-0.365723,0.210449,0.94043,,,
32964092950,31.5,22.4375,-14.3125,-0.357422,0.217285,0.993164,,,
32964115375,34.5,24.5625,-14.875,-0.335449,0.215332,0.916992,,,
32964138169,40.25,23.75,-18.8125,-0.400391,0.261719,0.889648,,,
32964160480,32.5625,18.1875,-21.4375,-0.426758,0.32959,0.896973,,,
32964175473,29.125,12.3125,-23.5625,-0.386719,0.326172,0.918457,,,
32964197995,34.5625,11.9375,-30.0625,-0.363281,0.285645,0.916504,,,
32964213762,38.5625,23.875,-35.0625,-0.327148,0.302246,0.889648,,,
32964235512,43.75,31.875,-40.1875,-0.381836,0.396973,0.851074,,,
32964259375,38.75,24.8125,-44.8125,-0.441895,0.484375,0.854004,,,
32964273166,25.75,16.6875,-45.75,-0.448242,0.477539,0.87793,,,
32964295343,23.625,12.5625,-45.6875,-0.399902,0.422852,0.887695,,,
32964316482,33.3125,10.6875,-45.125,-0.385742,0.439453,0.882324,,,
32964332999,35.625,7.1875,-44.8125,-0.376465,0.481934,0.848633,,,
32964355491,31.5,4.625,-43.6875,-0.397949,0.51123,0.839844,,,
32964384623,26.5625,-0.9375,-38.4375,-0.425781,0.510254,0.853516,,,
32964393025,23.25,-6.9375,-31.875,-0.413574,0.51416,0.855469,,,
32964415420,22.0625,-13.3125,-24.25,-0.395996,0.521973,0.86377,,,
32964446707,23.875,-19.5,-16.3125,-0.404785,0.541992,0.853027,,,
32964452051,18.5625,-26.0625,-5.5,-0.37793,0.547363,0.864258,,,
32964474798,14.25,-30.9375,5.3125,-0.336914,0.540527,0.871094,,,
32964497372,12.875,-33.25,15.3125,-0.315918,0.528809,0.866699,,,
32964512325,9.625,-34.0625,25.3125,-0.296875,0.542969,0.833008,,,
32964534767,6.5625,-36.1875,35.5,-0.302246,0.56543,0.810547,,,
32964557223,2.3125,-37.5,45.0625,-0.287109,0.569824,0.79834,,,
32964572146,-0.0625,-37.5625,53.75,-0.256836,0.560547,0.785156,,,
32964594864,-0.4375,-36.125,62.5625,-0.23877,0.554688,0.776855,,,
32964616946,-1,-31.625,70.125,-0.223145,0.568848,0.758789,,,
32964632244,-2.4375,-26.5,76.5625,-0.218262,0.57666,0.750488,,,
32964654842,-3.25,-20.5625,83.75,-0.208496,0.591309,0.75,,,
32964677260,-6,-13.4375,90.8125,-0.198242,0.588867,0.747559,,,
32964692362,-8.625,-3.5,95.4375,-0.196289,0.579102,0.767578,,,
32964714815,-7.875,3.5,99.8125,-0.201172,0.597168,0.765625,,,
32964745448,-7.375,7,102.375,-0.224121,0.598145,0.746582,,,
