Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
108,-7.25,-80.0625,20.6875,-0.025958673,-0.001644214,0.086096939,,,
109,-5.6875,-76.5625,17.9375,-0.021872959,-0.000946667,0.085100408,,,
110,-3.125,-71.3125,15.5625,-0.018783878,0.000149473,0.085997245,,,
111,-1.3125,-66.9375,12.6875,-0.017837245,0.002690531,0.08694398,,,
112,-3.0625,-62.9375,8.9375,-0.019830204,0.006178255,0.086894082,,,
113,-8.5625,-59.625,5.25,-0.021225306,0.007822469,0.086545408,,,
114,-14.1875,-55.5,1.375,-0.020876531,0.007872286,0.08963449,,,
115,-14.5625,-52.3125,-2,-0.018235816,0.003338245,0.090481531,,,
116,-7.1875,-50,-5.125,-0.01718949,0.001743857,0.090880102,,,
117,4.5625,-46.625,-4.1875,-0.015844184,-0.000298948,0.090531327,,,
118,14.625,-42.8125,-2.125,-0.014698265,0.003238602,0.090880102,,,
119,19,-40.5625,1.5,-0.0142,0.005879306,0.094218367,,,
120,24.125,-41.25,2.5625,-0.01165898,0.002242112,0.094467449,,,
121,32.75,-39.875,5.1875,-0.007174745,-0.002142459,0.094019082,,,
122,39.125,-35.75,9.0625,-0.003039306,-0.001694041,0.094317959,,,
123,38.8125,-33.5625,13.75,-0.001943163,0.001494735,0.094666735,,,
124,29.9375,-30.5625,18.6875,-0.002939653,0.005729827,0.09785551,,,
125,19.9375,-26.125,22.4375,-0.003437898,0.007971939,0.101393061,,,
126,15.9375,-23.0625,23.0625,-0.003039306,0.009167735,0.103435714,,,
127,16.8125,-19.6875,21.5625,-0.001245612,0.010811939,0.103136735,,,
128,15.75,-14.4375,17.25,-0.000149473,0.014150204,0.102339796,,,
129,10.5625,-10.1875,12.5,-0.000597896,0.016691224,0.101094184,,,
130,2.25,-7.875,7.75,-0.001046316,0.01973051,0.099499796,,,
131,-6.6875,-8.1875,4.5,-0.001594388,0.015844184,0.097955204,,,
132,-11.8125,-8.3125,1.6875,-0.001544561,0.017289184,0.097058367,,,
133,-16.25,-10.0625,-1.625,-0.003089122,0.016143163,0.093520816,,,
134,-20.125,-11.75,-3.625,-0.002889827,0.016143163,0.09262398,,,
135,-21.0625,-12.0625,-5.375,-0.00199298,0.016292653,0.091029592,,,
136,-7.875,-10.375,-9.9375,-0.006178255,0.019082857,0.09202602,,,
137,9.4375,-3.5625,-12,0.000398597,0.019680714,0.097108163,,,
138,16.875,-1.3125,-12.375,0.00368702,0.021225306,0.097905408,,,
139,18.625,-0.0625,-12.25,0.005879306,0.02401551,0.097058367,,,
140,12.5,-0.0625,-12.0625,0.006477204,0.025908776,0.094068878,,,
141,1.4375,0.3125,-12.6875,0.005729827,0.02685551,0.09347102,,,
142,-9.6875,-0.375,-13.1875,0.003985969,0.024613367,0.093371327,,,
143,-13.6875,-2.1875,-12.8125,0.002391582,0.021424592,0.094766429,,,
144,-12.4375,-3.8125,-11.25,0.003437898,0.018983163,0.094666735,,,
145,-8,-8.4375,-9.75,0.005131939,0.024264592,0.093122245,,,
146,-12.3125,-9.5625,-11.375,0.001395092,0.02257051,0.093620408,,,
147,-10.9375,-9.8125,-12.625,-0.002690531,0.019830204,0.095364286,,,
148,-5.5,-9.4375,-12.8125,-0.003786673,0.016691224,0.098951735,,,
149,2.375,-8.875,-13.0625,-0.000498246,0.016192959,0.100097653,,,
150,6.8125,-8.875,-13.8125,0.001544561,0.019082857,0.099400102,,,
151,3.5,-7.8125,-13.8125,0.002042806,0.020477959,0.099449898,,,
152,-1.9375,-7.9375,-15,0.002640704,0.020378265,0.101393061,,,
153,-7.25,-7.5625,-15.4375,0.005331235,0.017239286,0.104531633,,,
154,-8.3125,-5,-16.625,0.008121408,0.0142,0.107372449,,,
155,-5.125,-3.75,-17,0.00852001,0.009915102,0.108966327,,,
156,2.1875,1.5,-17,0.010413367,0.010114398,0.113102041,,,
157,10.875,6.75,-18.9375,0.006975449,0.010413367,0.113152041,,,
158,16.0625,11.5,-19.375,0.006875796,0.01165898,0.115393878,,,
159,19.625,13.875,-21.6875,0.002590878,0.015047041,0.11389898,,,
160,13.625,9.125,-22.4375,-0.002740357,0.014150204,0.107471429,,,
161,2.75,1.625,-20.75,-0.000847018,0.010014745,0.102140816,,,
162,-6.25,-3.3125,-16.5625,0.003388071,0.003288429,0.098901837,,,
163,-7.6875,-5.0625,-11.875,0.005580357,-0.001395092,0.096510306,,,
164,-1.6875,-6.0625,-8.5,0.007374041,0.000199298,0.097506735,,,
165,3.0625,-6.25,-5.25,0.00866948,0.004434388,0.098353776,,,
166,3.8125,-6.625,-3.75,0.011110918,0.009815449,0.098204286,,,
167,2,-8.25,-3.6875,0.012655408,0.013602143,0.096908878,,,
168,-2.8125,-7.9375,-4.5625,0.014299694,0.013602143,0.096211327,,,
169,-6.25,-3.5625,-8.8125,0.016990204,0.009416857,0.097755918,,,
170,-3.125,-4.3125,-9.9375,0.018883571,0.006875796,0.098054898,,,
171,4.3125,-6.875,-9.1875,0.018883571,0.006925622,0.096360816,,,
172,3.0625,-10.125,-8.125,0.020228776,0.004384571,0.094317959,,,
173,-3.75,-12.625,-6.1875,0.021424592,0.00852001,0.097407143,,,
174,13.8125,-9.9375,-10.375,0.019431633,0.013103878,0.110262245,,,
175,10.6875,-9.8125,-10.375,0.017687755,0.012256837,0.109913265,,,
176,10.5,-6.5,-9.6875,0.017787347,0.011310204,0.112255102,,,
177,15.1875,-2.625,-11,0.017438571,0.01405051,0.110909184,,,
178,16.5,0.6875,-13.75,0.013502449,0.018734082,0.110511224,,,
179,10.375,2.0625,-17,0.00866948,0.023965612,0.108019388,,,
180,-1.375,0.125,-19.9375,0.005131939,0.024762857,0.103336735,,,
181,-11.125,-2.3125,-21.625,0.003338245,0.021474388,0.099200816,,,
182,-14.5625,-3.375,-22.625,0.000448421,0.01704,0.095762959,,,
183,-12.625,-3.6875,-22.8125,-0.003537551,0.01434949,0.095065408,,,
184,-7.0625,-3.25,-21.625,-0.004484214,0.013801429,0.094716633,,,
185,-2,-1.9375,-19.6875,-0.00284,0.014897551,0.094417653,,,
186,3.4375,-0.5625,-17.75,0.001145969,0.015395816,0.096360816,,,
187,-18.3125,-2.125,-15.25,0.008470184,0.013701735,0.095364286,,,
188,-18.5,-4.125,-15.5,0.009915102,0.012107347,0.096161531,,,
189,-15.6875,-6,-16,0.01106102,0.011858265,0.094218367,,,
190,-11.5625,-6.25,-18.125,0.012356531,0.01390102,0.093670306,,,
191,-8.5,-5.375,-21.4375,0.01250602,0.014598571,0.093919388,,,
192,-5,-4.25,-24.125,0.013402857,0.013701735,0.094716633,,,
193,-1.4375,-3.3125,-26.375,0.014100408,0.015047041,0.096012041,,,
194,-1.3125,-3.3125,-28.3125,0.01534602,0.017438571,0.095115204,,,
195,-6.4375,-4.9375,-30.125,0.014997245,0.019531224,0.094965714,,,
196,-12.5625,-5.625,-31.75,0.015595102,0.017837245,0.096659796,,,
197,-15.3125,-5.3125,-34.375,0.015894082,0.016342449,0.097706122,,,
198,-11.8125,-7.1875,-36.125,0.013651939,0.013751633,0.096709592,,,
199,-7.375,-8.1875,-36.375,0.013502449,0.01390102,0.098602959,,,
200,-3.1875,-8,-37.1875,0.016541735,0.015096837,0.099549592,,,
201,-1.75,-8.0625,-38.1875,0.016192959,0.01689051,0.100546122,,,
202,-2.875,-9.5,-39.375,0.013950918,0.019282143,0.100247143,,,
203,-7.125,-11.625,-39.8125,0.011957959,0.016242857,0.099101122,,,
204,-7.875,-10.3125,-39.6875,0.012904592,0.012755102,0.103435714,,,
205,-0.9375,-9.125,-40.4375,0.0142,0.011310204,0.103086735,,,
206,3.1875,-6.75,-39.875,0.01534602,0.012057551,0.106973469,,,
207,6.4375,-0.875,-40.75,0.015545306,0.014897551,0.109116327,,,
208,7.125,4.9375,-42.6875,0.012804898,0.016940408,0.11340102,,,
209,7.875,9,-46.625,0.006726327,0.019431633,0.111408163,,,
210,5.875,5.3125,-47.875,-0.002042806,0.016342449,0.105478571,,,
211,5.125,-1,-44.375,-0.005181755,0.009416857,0.100745408,,,
212,6.0625,-4.5625,-40.75,-0.002391582,0.003736847,0.096908878,,,
213,7.625,-5.4375,-36.625,0.001096143,0.003288429,0.097805714,,,
214,8.5625,-5.9375,-33.5625,0.004135439,0.007374041,0.097207857,,,
215,3.0625,-6.5,-30.125,0.005331235,0.012954388,0.098852041,,,
216,-2.9375,-6.125,-27.5,0.009018255,0.015096837,0.098752347,,,
217,-4.4375,-3.9375,-27.5,0.012705306,0.01534602,0.099400102,,,
218,-4.9375,-1,-29,0.014847755,0.015844184,0.099948163,,,
219,-6.1875,0.4375,-30.9375,0.015694796,0.014150204,0.099649184,,,
220,-7.6875,0.5,-32.6875,0.015894082,0.012256837,0.099848571,,,
221,-7.0625,-0.5625,-32.625,0.015794388,0.009616153,0.098652755,,,
222,-3.8125,-2.5625,-31.125,0.019182449,0.008719306,0.095862551,,,
223,1.125,-4.75,-32.5625,0.003388071,0.008470184,0.094467449,,,
224,4.625,-5,-32.4375,-0.003736847,0.01165898,0.086894082,,,
225,-1.8125,-8.75,-27.125,0.018883571,0.009068082,0.093371327,,,
226,-3.375,-10.9375,-25.5625,0.016940408,0.008918602,0.093371327,,,
227,2.5625,6.0625,-43.8125,0.001893337,0.02541051,0.10627551,,,
228,-16.9375,-2.25,-49.3125,-0.002391582,0.013801429,0.099549592,,,
229,-13.625,-7,-48.6875,0.010662449,0.021574082,0.094218367,,,
230,-12.25,-6.9375,-50.0625,0.009566327,0.020228776,0.096211327,,,
231,-8.5625,-7.125,-51.25,0.008968429,0.020926327,0.097955204,,,
232,-6.5,-8.5,-52.5625,0.00767299,0.022819694,0.097407143,,,
233,-7,-10.125,-53.875,0.006277898,0.022819694,0.098204286,,,
234,-7.4375,-9.9375,-54.8125,0.009167735,0.021623878,0.100944694,,,
235,-4.125,-9.625,-56.8125,0.008719306,0.02117551,0.101094184,,,
,0.8125,-8.0625,-40.1875,-0.010064571,0.02117551,0.105229592,,,
,-2.1875,-8.875,-42.1875,-0.010114398,0.018783878,0.105528571,,,
,-1.4375,-10.625,-43.5625,-0.012705306,0.016990204,0.106873469,,,
,3.9375,-4.9375,-45.1875,-0.015993673,0.015993673,0.111657143,,,
,13,2.875,-46.6875,-0.018484898,0.016392347,0.1135,,,
,18.3125,6.8125,-46.375,-0.021574082,0.016242857,0.11379898,,,
,15.8125,2.6875,-42.5625,-0.023268061,0.01534602,0.109116327,,,
,5.375,-6.4375,-36.5,-0.023517245,0.013303163,0.102189796,,,
,-18.875,-8.3125,-30.1875,-0.018933367,0.003886316,0.098752347,,,
,-18.125,-7.8125,-29.0625,-0.017388776,0.00284,0.100845,,,
,-9.5625,-7.875,-27.5625,-0.015146735,0.005082112,0.102738776,,,
,0.5625,-7.0625,-26.8125,-0.010811939,0.008071592,0.103037755,,,
,16.6875,-2.4375,-30.4375,-0.001444918,0.017637959,0.098104694,,,
,6.9375,-1.5,-34.1875,-0.000946667,0.020129184,0.093769898,,,
,-7.375,-1.875,-35.5,-0.00199298,0.01390102,0.093271633,,,
,-8.3125,-2.625,-35.6875,-0.001943163,0.005181755,0.09217551,,,
,2.4375,-1.1875,-34.375,-0.001594388,0.003238602,0.093969184,,,
,13.9375,-0.5,-31.5625,-0.002541051,0.006875796,0.09347102,,,
,17.375,-0.8125,-28.5,-0.004484214,0.012157245,0.09262398,,,
,11.4375,-0.25,-26.375,-0.004235092,0.016840714,0.092823265,,,
,1.75,-0.1875,-24.1875,-0.003089122,0.013751633,0.092972755,,,
,-1.4375,0.8125,-22.25,-0.003039306,0.011011224,0.09546398,,,
,0.5625,1.5,-20.375,-0.004235092,0.012107347,0.096460408,,,
,2.625,1.5,-18.5,-0.006477204,0.013303163,0.097706122,,,
,4.5625,0.125,-15.9375,-0.008569837,0.01150949,0.098702551,,,
,9.1875,-1.3125,-13.1875,-0.010363469,0.009566327,0.101094184,,,
,13.25,-1.6875,-9.5625,-0.008968429,0.007025276,0.102040816,,,
,17.6875,-1.9375,-7.125,-0.006626673,0.010214082,0.10632551,,,
,17.375,-1.9375,-6.5,-0.006028776,0.016192959,0.108069388,,,
,11.875,-1.3125,-6.3125,-0.006875796,0.017588061,0.109514286,,,
,10.1875,-3.0625,-6.4375,-0.005480704,0.016591633,0.110610204,,,
,13.4375,-5.1875,-7.5625,-0.007573347,0.017787347,0.109564286,,,
,16.0625,-5.3125,-9.0625,-0.012057551,0.019232347,0.106973469,,,
,16.875,-4.25,-10.6875,-0.013153673,0.019232347,0.105578571,,,
,18.4375,-0.375,-12.5625,-0.015744592,0.022221735,0.105030612,,,
,18.4375,4.125,-14.1875,-0.01833551,0.028948061,0.105727551,,,
,13.0625,3.75,-14.625,-0.020378265,0.032236531,0.102339796,,,
,3.75,0.4375,-12.5625,-0.019929796,0.0284,0.099848571,,,
