timestamp,x,y,z,w
31123279213,0.429199,0.0549927,0.186829,0.881897
31123304741,0.382263,-0.00238037,0.294006,0.875977
31123319682,0.331604,-0.065979,0.394653,0.854309
31123339492,0.283386,-0.132568,0.487488,0.815063
31123362637,0.241272,-0.19751,0.570984,0.759399
31123379006,0.205505,-0.2547,0.645081,0.69043
31123401328,0.182556,-0.304138,0.709839,0.608459
31123430102,0.168274,-0.343811,0.763123,0.52063
31123438884,0.155457,-0.375183,0.804321,0.433655
31123461385,0.146545,-0.391785,0.837341,0.351868
31123489989,0.140198,-0.39209,0.86499,0.279907
31123498961,0.134705,-0.376526,0.889709,0.220093
31123521902,0.126343,-0.355103,0.910034,0.172485
31123543951,0.119385,-0.334351,0.92511,0.134338
31123566401,0.115112,-0.315979,0.935547,0.10791
31123581777,0.113037,-0.297913,0.943359,0.0922852
31123610361,0.113647,-0.280762,0.949036,0.086853
31123628012,0.115906,-0.262939,0.95343,0.0914917
31123641392,0.119202,-0.243469,0.956848,0.104248
31123671334,0.125977,-0.227356,0.957825,0.122314
31123678202,0.132935,-0.215393,0.956848,0.142395
31123714893,0.139282,-0.202332,0.955627,0.162537
31123724055,0.146179,-0.187622,0.954041,0.181946
31123746863,0.153381,-0.175049,0.951599,0.200623
31123761380,0.160339,-0.165771,0.948181,0.218445
31123783873,0.166443,-0.157898,0.944336,0.235535
31123813813,0.171997,-0.149963,0.940613,0.25116
31123821314,0.178711,-0.141602,0.936646,0.265747
31123843905,0.184937,-0.134155,0.932373,0.279968
31123858225,0.189941,-0.127258,0.927917,0.29425
31123888823,0.193726,-0.120422,0.923523,0.308228
31123903974,0.19696,-0.113281,0.919067,0.321899
31123918066,0.199707,-0.106689,0.91449,0.335205
31123941418,0.202454,-0.0997925,0.90979,0.348206
31123963892,0.204834,-0.0921631,0.904968,0.361206
31123978114,0.206726,-0.0849609,0.900085,0.37384
31124001320,0.20929,-0.0769043,0.894958,0.386353
31124023959,0.212524,-0.0678101,0.889709,0.398254
31124038130,0.216736,-0.0579834,0.884155,0.409729
31124061388,0.221436,-0.0482788,0.878479,0.420471
31124083936,0.226501,-0.038147,0.872681,0.430786
31124105081,0.231628,-0.02771,0.866882,0.440491
31124121386,0.237122,-0.0169067,0.861145,0.44928
31124143812,0.243103,-0.00561523,0.855469,0.457092
31124164980,0.249268,0.00518799,0.850098,0.463745
31124181382,0.255859,0.015625,0.844971,0.469299
31124204038,0.262756,0.0258179,0.840027,0.473816
31124224931,0.269775,0.0354614,0.835327,0.4776
31124241366,0.276611,0.0448608,0.830811,0.480774
31124263860,0.282471,0.0533447,0.826721,0.483459
31124285174,0.28833,0.060791,0.82312,0.485291
31124301370,0.293823,0.0665283,0.820007,0.486511
31124324007,0.298767,0.0707397,0.817444,0.487244
31124345159,0.303467,0.0743408,0.815308,0.487427
31124361378,0.307861,0.0773315,0.813416,0.487366
31124383958,0.311523,0.0797729,0.81189,0.487244
31124404955,0.314392,0.0819092,0.810669,0.486938
31124421378,0.31665,0.0837402,0.809875,0.486572
31124443788,0.318359,0.085083,0.809387,0.486023
31124464990,0.319763,0.0858765,0.809082,0.485413
31124481547,0.321228,0.0861816,0.80896,0.484558
31124505199,0.322632,0.0861816,0.809082,0.483459
31124524898,0.323853,0.0859375,0.809265,0.482422
31124541295,0.324585,0.0856323,0.80957,0.481445
31124563769,0.325195,0.0856323,0.809814,0.480652
31124584911,0.325928,0.0856323,0.809875,0.480103
31124601251,0.326355,0.0853882,0.809937,0.479675
31124623912,0.326599,0.0853271,0.809998,0.479431
31124646382,0.326782,0.0855713,0.810059,0.479126
31124661494,0.327026,0.0859375,0.81012,0.478821
31124684095,0.327271,0.0861206,0.810181,0.478577
31124706348,0.327698,0.0864258,0.810059,0.478333
31124721387,0.328186,0.0869141,0.809937,0.478088
31124743844,0.328857,0.0871582,0.809753,0.477966
31124766412,0.329407,0.0872803,0.80957,0.477844
31124780711,0.330078,0.0875244,0.809387,0.477661
31124803852,0.330139,0.0875854,0.809387,0.477661
31124826379,0.330566,0.0878906,0.809326,0.477356
31124840572,0.330933,0.0883179,0.809326,0.47699
31124863914,0.331299,0.0886841,0.809326,0.476746
31124886349,0.331726,0.0889893,0.809204,0.476624
31124900655,0.332214,0.0890503,0.809021,0.476501
31124923833,0.332886,0.0891724,0.808838,0.47644
