timestamp,roll,pitch,yaw,AccX,AccY,AccZ,RelAccX,RelAccY,RelAccZ,GyroX,GyroY,GyroZ,QuarX,QuarY,QuarZ,QuarW
31123379006,-0.0569885,-0.664721,1.5225,-1.375,0.416504,0.115723,-71.963878,29.88672021,35.9575138,-168.062,-128.438,676.312,0.205505,-0.2547,0.645081,0.69043
31123401328,-0.273114,-0.68063,1.82146,-0.972656,0.23291,0.148438,-72.936534,30.11963021,36.1059518,-85.0625,-169.625,654.688,0.182556,-0.304138,0.709839,0.608459
31123430102,-0.459162,-0.662163,2.10446,-0.700684,0.325684,0.219727,-73.637218,30.44531421,36.3256788,-30.75,-190.25,612.312,0.168274,-0.343811,0.763123,0.52063
31123438884,-0.610333,-0.613183,2.35139,-0.747559,0.0185547,0.248535,-74.384777,30.46386891,36.5742138,-11.375,-181.312,555.375,0.155457,-0.375183,0.804321,0.433655
31123461385,-0.704883,-0.548174,2.55204,-0.681152,-0.414062,0.379883,-75.065929,30.04980691,36.9540968,47.625,-158.062,485,0.146545,-0.391785,0.837341,0.351868
31123489989,-0.74281,-0.480291,2.70584,-0.570801,-0.632812,0.362305,-75.63673,29.41699491,37.3164018,112.688,-117.688,405.375,0.140198,-0.39209,0.86499,0.279907
31123498961,-0.731638,-0.417457,2.8185,-0.66748,-0.563477,0.482422,-76.30421,28.85351791,37.7988238,174.438,-73.125,325.312,0.134705,-0.376526,0.889709,0.220093
31123521902,-0.699795,-0.36019,2.89965,-0.836914,-0.617188,0.641113,-77.141124,28.23632991,38.4399368,181.25,-31.1875,257.5,0.126343,-0.355103,0.910034,0.172485
31123543951,-0.665059,-0.315951,2.96311,-0.804199,-0.660645,0.817383,-77.945323,27.57568491,39.2573198,160.688,-24.4375,200.938,0.119385,-0.334351,0.92511,0.134338
31123566401,-0.631841,-0.287526,3.00648,-0.588867,-0.711426,1.02734,-78.53419,26.86425891,40.2846598,131.875,-19.5625,134.25,0.115112,-0.315979,0.935547,0.10791
31123581777,-0.59657,-0.271581,3.03053,-0.399414,-0.660645,1.00977,-78.933604,26.20361391,41.2944298,119.625,-10.9375,73.25,0.113037,-0.297913,0.943359,0.0922852
31123610361,-0.561099,-0.267666,3.03662,-0.0751953,-0.530762,1.0166,-79.0087993,25.67285191,42.3110298,104.75,-5.5,17,0.113647,-0.280762,0.949036,0.086853
31123628012,-0.521958,-0.272489,3.02345,0.11377,-0.476562,0.975586,-78.8950293,25.19628991,43.2866158,100.938,4.1875,-39.5625,0.115906,-0.262939,0.95343,0.0914917
31123641392,-0.477209,-0.282626,2.99373,0.166504,-0.338379,0.903809,-78.7285253,24.85791091,44.1904248,97,6.125,-87.4375,0.119202,-0.243469,0.956848,0.104248
31123671334,-0.437678,-0.301491,2.9551,0.228516,-0.155762,0.824219,-78.5000093,24.70214891,45.0146438,77.8125,-2.75,-118.062,0.125977,-0.227356,0.957825,0.122314
31123678202,-0.405551,-0.321235,2.91271,0.309082,-0.166016,0.902344,-78.1909273,24.53613291,45.9169878,51.5,-4.4375,-127.875,0.132935,-0.215393,0.956848,0.142395
31123714893,-0.370368,-0.338398,2.86863,0.336426,-0.148926,0.894531,-77.8545013,24.38720691,46.8115188,56.8125,-0.0625,-128.062,0.139282,-0.202332,0.955627,0.162537
31123724055,-0.331043,-0.354579,2.82451,0.353027,-0.0688477,0.865234,-77.5014743,24.31835921,47.6767528,66.125,-2.75,-126.062,0.146179,-0.187622,0.954041,0.181946
31123746863,-0.29568,-0.370576,2.78183,0.39209,-0.0654297,0.868652,-77.1093843,24.25292951,48.5454048,54.8125,-7.5,-121.438,0.153381,-0.175049,0.951599,0.200623
31123761380,-0.266874,-0.386,2.74117,0.441406,-0.0473633,0.879883,-76.6679783,24.20556621,49.4252878,36.8125,-11.375,-114.75,0.160339,-0.165771,0.948181,0.218445
31123783873,-0.240902,-0.39926,2.70166,0.509766,-0.0888672,0.908691,-76.1582123,24.11669901,50.3339788,28.875,-9,-109.375,0.166443,-0.157898,0.944336,0.235535
31123813813,-0.21509,-0.410311,2.66462,0.558105,-0.0966797,0.938477,-75.6001073,24.02001931,51.2724558,30.5625,-6.5625,-101.25,0.171997,-0.149963,0.940613,0.25116
31123821314,-0.187797,-0.422496,2.62903,0.606934,-0.0976562,0.930664,-74.9931733,23.92236311,52.2031198,31.8125,-4.125,-93.6875,0.178711,-0.141602,0.936646,0.265747
31123843905,-0.162264,-0.433421,2.59393,0.670898,-0.0854492,0.896973,-74.3222753,23.83691391,53.1000928,27.9375,1.125,-91,0.184937,-0.134155,0.932373,0.279968
31123858225,-0.138029,-0.441606,2.5584,0.671387,-0.0874023,0.872559,-73.6508883,23.74951161,53.9726518,24.375,6.6875,-91.25,0.189941,-0.127258,0.927917,0.29425
31123888823,-0.114464,-0.44677,2.52333,0.65918,-0.0961914,0.868652,-72.9917083,23.65332021,54.8413038,24.25,11.8125,-90.25,0.193726,-0.120422,0.923523,0.308228
31123903974,-0.0905501,-0.450005,2.4885,0.613281,-0.0859375,0.873047,-72.3784273,23.56738271,55.7143508,25.6875,12.0625,-89.3125,0.19696,-0.113281,0.919067,0.321899
31123918066,-0.0681387,-0.452022,2.45453,0.591797,-0.0576172,0.861328,-71.7866303,23.50976551,56.5756788,21.9375,11.8125,-86.9375,0.199707,-0.106689,0.91449,0.335205
31123941418,-0.0451637,-0.453236,2.42088,0.57666,-0.0341797,0.814453,-71.2099703,23.47558581,57.3901318,23.6875,12.8125,-86.1875,0.202454,-0.0997925,0.90979,0.348206
31123963892,-0.0209455,-0.452612,2.38681,0.489746,0.0234375,0.772461,-70.7202243,23.49902331,58.1625928,24.1875,11.9375,-86,0.204834,-0.0921631,0.904968,0.361206
31123978114,0.0018008,-0.450778,2.35375,0.446777,0.0366211,0.740723,-70.2734473,23.53564441,58.9033158,21.75,11.5625,-84.3125,0.206726,-0.0849609,0.900085,0.37384
