timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
31123708912,-4,-5,-4,-9,-7,-5,6,-5
31123709509,0,3,3,8,-4,4,-18,4
31123709509,-4,0,-3,-3,-6,-5,3,0
31123715597,7,-4,-5,-7,-2,3,1,-3
31123715597,-7,0,2,7,2,-3,-11,-3
31123723188,8,0,0,0,0,0,-13,2
31123723188,-3,0,0,7,0,6,0,-7
31123724597,-3,-2,-5,-9,-4,-4,-5,8
31123724597,-1,-1,-2,3,1,9,1,-3
31123746147,0,-2,0,-11,-3,-3,-2,-1
31123746147,-5,-3,3,5,3,-5,-5,-4
31123747615,-5,-3,-3,-3,-9,5,12,-4
31123747615,13,3,0,-10,-6,-11,21,4
31123760810,-3,0,1,6,-4,5,-14,-1
31123760810,10,-1,-1,-6,-6,-7,21,0
31123762310,-2,0,-1,2,2,9,6,-1
31123762310,-2,-3,-2,-3,-6,1,-2,2
31123783025,-5,-4,-1,-4,-8,-9,-5,-7
31123783025,-5,-7,-3,-9,6,7,18,0
31123784658,-2,1,-1,2,-3,-6,6,1
31123784658,3,0,2,5,3,14,-5,-2
31123813084,0,0,-4,-1,2,-12,-1,4
31123813084,-6,-2,-1,-9,-3,-10,-7,-3
31123814588,-6,-3,2,4,1,6,-4,-2
31123814588,-8,-3,-3,-3,0,7,-11,-1
31123820580,3,0,0,2,5,-5,-5,-3
31123820580,-5,-3,2,-3,-8,2,-6,2
31123822324,-1,-4,-2,-3,-4,8,-13,1
31123822324,2,1,-5,0,-1,-7,0,-3
31123843069,-6,2,0,5,3,3,17,-5
31123843069,-6,-2,0,-5,-3,-7,-18,8
31123844674,16,5,0,5,-3,2,-2,-3
31123844674,-8,-4,-2,0,-5,-4,-14,-4
31123857553,-2,-4,-3,4,28,15,-5,-2
31123857553,-5,3,-1,4,-1,1,-1,-4
31123864214,-5,3,-1,-5,-5,-15,-9,-3
31123864214,3,-4,0,-4,-3,4,-10,3
31123888235,2,-1,-2,1,-8,-9,15,-4
31123888235,3,-3,-5,-3,3,5,-23,-1
31123889823,-11,-3,-2,-2,2,-4,12,-8
31123889823,8,3,1,2,1,-5,2,3
31123903062,1,0,2,2,5,-8,-28,2
31123903062,2,2,1,0,5,12,34,1
31123904679,-2,-2,4,1,-7,-6,-9,-1
31123904679,-7,-3,0,-3,5,0,-7,-5
31123917274,-7,-7,-2,-6,-7,-5,4,-3
31123917274,2,-3,-3,-2,-3,5,-2,-1
31123924427,0,0,3,1,4,1,-11,10
31123924427,0,3,1,9,-3,-13,-6,-4
31123940762,0,-2,-1,-3,-5,8,24,0
