Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
172,-3.75,3.9375,-7.4375,-0.0380859,0.152344,0.918945,,,
173,6.25,3.5,-9.25,-0.0454102,0.178223,0.901367,,,
174,8.9375,3.25,-11.0625,-0.050293,0.216797,0.90332,,,
175,4.75,3.1875,-12.5625,-0.0400391,0.241211,0.916016,,,
176,-2.5625,3,-13.5,-0.0498047,0.243164,0.916992,,,
177,-9.5625,2.3125,-13.875,-0.0551758,0.233887,0.93457,,,
178,-12.625,0.6875,-14.0625,-0.0537109,0.200195,0.952637,,,
179,-2.4375,-5.125,-16.625,-0.0664062,0.191895,1.0293,,,
180,5.375,-4.8125,-17.4375,-0.0976562,0.212891,1.03613,,,
181,4.9375,-7.125,-16.625,-0.0834961,0.256348,1.04346,,,
182,-2.4375,-8.5625,-15.625,-0.0654297,0.243164,1.03613,,,
183,-6.9375,-7.0625,-15.5625,-0.0444336,0.192871,1.06836,,,
184,-4.3125,-15.125,4.875,-0.027832,0.154785,0.954102,,,
185,-7.75,-8.75,3,0.00146484,0.171387,0.941895,,,
186,-12.875,-2.9375,-2.125,0.0214844,0.189453,0.923828,,,
187,-20.75,-1.5,-6.5,0.0219727,0.127441,0.907227,,,
188,-7.5625,0.3125,-9.0625,0.0498047,0.015625,0.897949,,,
189,6.5625,1.0625,-7.6875,0.0551758,0.0107422,0.898926,,,
190,15.5,1,-5.75,0.059082,0.0405273,0.89502,,,
191,15.25,0.375,-3.8125,0.0424805,0.0927734,0.883789,,,
192,5.9375,0.25,-1.375,0.034668,0.105469,0.899902,,,
193,-2.875,0.5625,0.5625,0.0410156,0.0927734,0.908203,,,
194,-6.25,1,1.75,0.0473633,0.0791016,0.935059,,,
195,-6.5,0.6875,2.875,0.0522461,0.078125,0.948242,,,
196,-6.6875,-0.4375,4,0.0429688,0.0771484,0.970215,,,
197,28.3125,15.125,-1.1875,-0.0634766,0.164062,1.07812,,,
198,34.4375,23.125,-3.5,-0.111816,0.22168,1.06299,,,
199,-23,67.375,38.5625,-0.0942383,0.166504,0.601562,,,
200,-24.25,75.8125,40.5,-0.108887,0.0932617,0.525879,,,
201,-33.75,93.25,37.75,-0.0800781,0.0185547,0.532715,,,
202,-36.75,110.75,26.9375,-0.11084,0.15918,0.566895,,,
