Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
127,-83.8125,-18.5625,58.4375,-0.069206429,0.084652041,0.082509592,,,
128,-82.6875,-26.5,71,-0.067861122,0.077527143,0.078673061,,,
129,-76.3125,-38.125,85.9375,-0.066864592,0.07274398,0.073092755,,,
130,-75.75,-51,103.25,-0.057746735,0.073939694,0.066416224,,,
131,-74.4375,-64.8125,114.188,-0.051169898,0.086844286,0.060835816,,,
132,-77.6875,-74.375,122.125,-0.048628776,0.093421122,0.056650612,,,
133,-77.0625,-78.875,131.25,-0.048080714,0.092873061,0.04942602,,,
134,-68.3125,-79.125,140.625,-0.050372653,0.087492041,0.044493367,,,
135,-55.9375,-75.75,151,-0.048529184,0.084054082,0.040357959,,,
136,-43.4375,-65.375,162.875,-0.041553776,0.082957959,0.038265306,,,
137,-34.1875,-52.3125,174.938,-0.032186735,0.082409898,0.035973367,,,
138,-28.875,-37.3125,182.5,-0.025908776,0.081762245,0.035126327,,,
139,-29.4375,-21.875,185.438,-0.025261122,0.079370612,0.034877245,,,
140,-33.5,-3.25,184.688,-0.024214796,0.07842398,0.038265306,,,
141,-39.4375,19.125,180.625,-0.026108061,0.07214602,0.042002143,,,
142,-41.8125,37.1875,174.625,-0.029047755,0.067163571,0.04105551,,,
143,-45.875,55.5,169.688,-0.032734796,0.061483571,0.040806327,,,
144,-43.6875,71.625,164.5,-0.037318673,0.057497653,0.036421837,,,
145,357.062,-191.5,-374.438,-0.268405102,0.056650612,-0.023168469,,,
146,395.125,-246.938,-396.75,-0.29795102,0.047233776,-0.021823163,,,
147,477.188,-313.062,-395.562,-0.339953061,0.046386735,-0.017986735,,,
148,555,-394.188,-348.688,-0.363570408,0.083256939,-0.033830918,,,
149,523,-471.188,-262.562,-0.353057143,0.13512449,-0.044642857,,,
150,398.812,-532.312,-182.75,-0.342244898,0.131885714,-0.028051224,,,
151,292.688,-568.375,-137.438,-0.304876531,0.086146735,-0.02670602,,,
152,244.062,-587.875,-110.312,-0.293915306,0.086595204,-0.051070204,,,
153,176.688,-596.062,-42.625,-0.287487755,0.113052041,-0.069654796,,,
154,62.875,-605.062,31.9375,-0.253209184,0.126455102,-0.065718673,,,
155,-25.4375,-606.812,76.3125,-0.204928571,0.124113265,-0.041155102,,,
156,-70.9375,-592.188,103.438,-0.149573469,0.115991837,-0.027553061,,,
157,-101.5,-559.875,127.375,-0.120027551,0.122469388,-0.026407041,,,
158,-153.688,-523.875,159.938,-0.104232653,0.145786735,-0.021574082,,,
159,-204.188,-498.188,196.062,-0.083805,0.12062551,-0.030542449,,,
160,-220.188,-477.125,233.938,-0.045290612,0.104980612,-0.03706949,,,
161,-237.188,-441.438,259.625,0.011459694,0.08410398,-0.041952347,,,
162,-212.062,-386.5,233.375,0.056351633,0.074936224,-0.052764286,,,
163,-201.562,-312.125,165.562,0.051120102,0.090830306,-0.056999388,,,
